Title,Authors,Year,Publication,Citations,ScholarURL
"M. Fisher, Il nostro desiderio è senza nome. Scritti politici. K-punk/1, Minimum fax, Roma 2020.",,2020,"Rivista Italiana di Filosofia del Linguaggio 14 (1), 2020",0,
Music and Language Revisited,,2020,"Rivista Italiana di Filosofia del Linguaggio 14 (1), 2020",0,
"Arte, vita e immanenza",,2020,"Studi di estetica, 2020",0,
"Resonating lacunae. Berio, Brandi and music restoration",,2020,"Studi di estetica, 2020",0,
Improvvisazione musicale: tra ontologia e psicoanalisi,,2020,"Studi di estetica, 2020",0,
Cosa può un concetto?,,2020,"Fata Morgana Web, 32, 2020",0,
Resonating lacunae,,2020,,0,
"E. Lewis, Intents & Purposes. Philosophy and aesthetics of improvisation",,2019,"Lebenswelt. Aesthetics and philosophy of experience., 2019",0,
"“Una pratica vivente”: Berio, Wittgenstein e il problema dell’educazione musicale",,2019,"Studi di estetica, 2019",0,
"M. Merleau-Ponty, 2019, La prosa del mondo, a cura di P. Dalla Vigna, Introduzione di C. Sini, Mimesis, Milano-Udine 2019.",,2019,"Rivista Italiana di Filosofia del Linguaggio 13 (2), 2019",0,
Editoriale. Mistica e psicoanalisi: scienze del desiderio,,2019,"L'INCONSCIO 7, 9-15, 2019",0,
L'antifilosofia di Wittgenstein. Traduzione e postfazione di Stefano Oliva,,2018,"Mimesis, 2018",0,
MYSTICAL SENTIMENT AND MELANHOLY: TWO CASES OF EXPECTATION,,2018,"LEBENSWELT-AESTHETICS AND PHILOSOPHY OF EXPERIENCE 12, 36-47, 2018",0,
IN THE WOMB OF LANGUAGE: FOR AN AESTHETIC OF THE EXTRA GESTURE,,2018,"LEBENSWELT-AESTHETICS AND PHILOSOPHY OF EXPERIENCE 13, 173-183, 2018",0,
Perché la musica? Le quattro cause dell’estetica musicale,,2017,"De Musica, 2017",0,
Quale paradigma per il ‘linguaggio della musica’? Verso una filosofia del gesto musicale/Which paradigm for the'language of music'? Towards a philosophy of musical gesture,,2017,"Rivista Italiana di Filosofia del Linguaggio 11 (2), 2017",0,
Dall’oggetto sonoro all’evento musicale,,2017,"Rivista di estetica, 77-92, 2017",0,
"A. Arbo, P.-E. Lephay (sous la direction de), Quand l’enregistrement change la musique",,2017,"Lebenswelt. Aesthetics and philosophy of experience., 2017",0,
